name,price,address,equipments,formatted_capacity,opening_periods,horaires,langues
Hôtel d'Angleterre,70€,"29, boulevard Raspail, 84000 Avignon","Non accessible en fauteuil roulant,Lit 140 cm,Lit 160 cm,Lit bébé,Chambre familiale,Lit 180 cm,Matériel Bébé,Parking,Parking payant,Terrasse,Ascenseur,Climatisation",4 chambre(s) pour 81 Personne(s) personnes,Du 17 janvier 2025 au 19 décembre 2025 - Ouvert tous les jours,,N/D
Au Saint Roch - Hôtel et Jardin,75€,"9, rue Paul Mérindol, 84000 Avignon","Non accessible en fauteuil roulant,Baignoire,Non fumeur,Matériel Bébé,Lit 140 cm,Climatisation,Lit 90 cm,Lit 160 cm,Lit bébé,Chambre familiale,Abris pour vélo ou VTT,Bar",7 chambre(s) pour 4 Chambre(s) twin   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
La Divine Comédie - Chambres d'hôtes,345€,"16, impasse Jean-Pierre Gras, 84000 Avignon","Non accessible en fauteuil roulant,Climatisation,Sèche cheveux,Chaise bébé,Lit bébé,Chambre familiale,Draps compris,Lit 180 cm,Douche,Linge compris,Matériel Bébé,Hébergement insonorisé",Non disponible chambre(s) pour Non disponible personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Le Clos Saluces - Chambres d'hôtes,280€,"11 rue Saluces, 84000 Avignon","Non accessible en fauteuil roulant,Câble / Satellite,Non fumeur,Accès Internet privatif Wifi,Accès Internet privatif Wifi gratuit,Climatisation,Douche,Draps compris,Sèche cheveux,Télévision,Séjour / Salle à manger,Douche à l'italienne",1 chambre(s) pour 4 Chambre(s) personnes,Du 1 avril 2025 au 30 septembre 2025 - Ouvert tous les jours,,N/D
Hôtel Mercure Avignon Gare TGV,119€,"2 Rue Mère Térésa, 84000 Avignon",Piscine,4 chambre(s) pour 113 Chambre(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Adagio access Avignon,,"6 avenue de la Gare, 84000 Avignon","Accessible en fauteuil roulant en autonomie,Matériel Bébé,Coin cuisine,Séjour / Salle à manger,Lit bébé,Ascenseur,Climatisation,Parking,Parking payant,Animaux acceptés,Petit déjeuner,Ménage avec supplément",4 chambre(s) pour Non disponible personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Les  Peupliers,,"2, rue Joseph Roumanille, 84000 Avignon","Lit 140 cm,Balcon,Abris pour vélo ou VTT,Terrasse,Parking,Equipements développement durable,Gestion des déchets,Parking gratuit,Parking à vélo,Animaux non acceptés",2 chambre(s) pour 4 Personne(s) personnes,Du 1 août 2025 au 31 décembre 2025 - Ouvert tous les jours,,N/D
Hôtel d'Europe,310€,"12, place Crillon, 84000 Avignon","Accessible en fauteuil roulant en autonomie,Une chambre PMR,Alarme visuelle avec flash lumineux,Boucle magnétique disponible à l’accueil,Baignoire,Matériel Bébé,Climatisation,Coffre privatif,Lit 160 cm,Lit bébé,Lit 180 cm,Ascenseur",2 chambre(s) pour 79 Personne(s) personnes,Du 15 mars 2025 au 31 décembre 2025 - Ouvert tous les jours,,N/D
Hôtel Bristol,67€,"44, cours Jean Jaurès, BP 186, 84000 Avignon","Accessible en fauteuil roulant en autonomie,Matériel Bébé,Lit bébé,Chambre familiale,Ascenseur,Climatisation,Parking,Accueil nuit,Animaux acceptés,Petit déjeuner,Blanchisserie,Animaux avec supplément",4 chambre(s) pour 75 Chambre(s) double   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Ibis Styles Avignon Sud,,"2968, Avenue de l'Amandier, 84000 Avignon",Piscine,4 chambre(s) pour 121 Chambre(s) double   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
