,"1 Place des Carmes, Avignon, France","1 Place du Palais, Avignon, France","1 Square Dagmar Silhol, Avignon, France","1 rue de l'Hôpital, Avignon, France","1 rue henri fabre, Avignon, France","10 bis, Place de l'Amirande, Avignon, France","10 bis, rue Peyrolerie, Avignon, France","10 chemin de la Barthelasse, Avignon, France","10 place Saint Marc, Avignon, France","101 Rue de la Bonneterie, Avignon, France","11 rue de Taulignan, Avignon, 84000","11, Rue de l'Hôpital, Avignon, France","110 chemin des Bois, Avignon, France","12, place Crillon, Avignon, France","129 rue de la Frache, Avignon, France","13 Chemin du Polygone, Avignon, France","13 Place Jean Jaurès, Avignon, France","13 Place de l'Horloge, Avignon, France","13, rue Banasterie, Avignon, 84000","130, Chemin du Pont Blanc, Avignon, France","14 Place Saint Didier, Avignon, France","15 rue Laurent Bertrand, Avignon, France","15 rue de la République, Avignon, France","162, Chemin des Canotiers, Avignon, France","17 rue Racine, Avignon, France","1715, chemin du Lavarin, Avignon, France","18 Boulevard Limbert, Avignon, France","18ter, Rue Pétramale, Avignon, France","2 Rue Mère Térésa, Avignon, France","2 bis rue Laboureur, Avignon, 84000","2 place Jérusalem, Avignon, 84000","20 boulevard Saint Roch, Avignon, France","20, rue Carreterie, Avignon, 84000","20, rue Saint-Etienne, Avignon, France","203 avenue de la Rétanque, Avignon, France","21, place des Corps Saints, Avignon, France","229 rue Graham Bell, Avignon, France","23, Rue de la Bancasse, Avignon, France","24 Rue de la Bonneterie, Avignon, France","24 place de l'Horloge, Avignon, France","25, allée Antoine Pinay, Avignon, France","25-27, place des Corps Saints, Avignon, France","26, rue des Trois Faucons, Avignon, France","27 rue de la République, Avignon, 84000","276 rue du Jas, Avignon, France","28 rue de la bonneterie, Avignon, France","29 place de la Poste, Avignon, France","29 rue Théodore Aubanel, Avignon, France","2968, Avenue de l'Amandier, Avignon, France","3 place Saint-Marc, Avignon, France","3 rue de la République, Villeneuve-lez-Avignon, 30400","3, Place Saint-Marc, Avignon, France","311 chemin des Petits Rougiers, Avignon, France","32 rue Joseph Vernet, Avignon, 84000","322 avenue de Saint Tronquet, Avignon, France","34, rue des Trois Faucons, Avignon, France","34- 36  Place des Corps Saints, Avignon, France","35 rue notre dame, Avignon, France","361 allée Louis Montagnat, Avignon, France","37 rue Camp de Bataille, Avignon, France","37 rue de la Saraillerie, Avignon, France","3B rue de la Petite Calade, Avignon, France","4 Place Jean Jaurès, Avignon, France","4 Place de l'Amirande, Avignon, France","4 place de l'Amirande, Avignon, France","4, Place de la Principale, Avignon, France","4, place de l'Amirande, Avignon, France","41 – 43 rue Carnot, Avignon, France","43 rue de la république, Avignon, France","450 allée de Cassagne, Avignon, France","49 rue porte de Jonquerettes, Avignon, France","5 Rue Cabassole, Avignon, France","5 place Jean Jaurès, Avignon, France","5 rue Violette, Avignon, France","5 rue Violette, Avignon, 84000","5 rue de la république, Avignon, France","5, rue Laboureur, Avignon, 84000","5, rue de la République, Avignon, France","5, rue du Vieux Moulin, Avignon, France","51 avenue du Mont-Ventoux, Avignon, France","53 rue de la République, Villeneuve-lez-Avignon, 30400","57 rue Banasterie, Avignon, 84000","58 rue de la République, Villeneuve-lez-Avignon, 30400","6, rue Saluces, Avignon, 84000","62 Place des Corps Saints, Avignon, France","62 place du Petit Pont, Avignon, France","641 avenue de Saint Tronquet, Avignon, France","641 avenue de Saint-Tronquet, Avignon, France","65 rue Joseph Vernet, Avignon, 84000","67 rue Joseph Vernet, Avignon, 84000","68, place des Corps Saints, Avignon, France","69 avenue du General de Gaulle, Avignon, France","7 Place Saint-Marc, Avignon, France","7 place du Chapitre, Avignon, France","7, impasse du Pont, Avignon, France","719 route de Carpentras, Avignon, France","72, place des Corps Saints, Avignon, France","74 Place des Corps Saints, Avignon, France","74 rue de la République, Avignon, France","76 rue Daniel Lavorini, Avignon, France","8 impasse du lavoir, Avignon, France","8 rue de Mons, Avignon, 84000","8, RUE MAZAN, Avignon, France","9 rue de la République, Avignon, France","9, place Crillon, Avignon, 84000","Avenue Pierre de Coubertin, Le Pontet, 84130, Avignon, France","Avenue Pierre de Coubertin, Vedène, 84270, Avignon, France","Avenue du Blanchissage, Avignon, 84000","Avignon, 84000","Centre Commercial Buld'Air, Avignon, France","Chemin de la Banastière, Avignon, France","Montfavet, Avignon, 84000","Montée de la Tour, Villeneuve-lez-Avignon, 30400","Palais des papes, Avignon, 84000","Place Meissonnier, Villeneuve-lez-Avignon, 30400","Place Saint Didier, Avignon, 84000","Place de l'Église, Caumont-sur-Durance, 84510, Avignon, France","Place de l'église, Caumont-sur-Durance, 84510, Avignon, France","Place de l'église, Entraigues-sur-la-Sorgue, 84320, Avignon, France","Place de l'église, Vedène, 84270, Avignon, France","Place des Carmes, Avignon, 84000","Place des Corps Saints, Avignon, 84000","Place du Palais, Avignon, 84000","Place du Petit Pont, Vedène, 84270, Avignon, France","RD 6580, Avignon, France","Rue de la Dévalade, Caumont-sur-Durance, 84510, Avignon, France","Rue des Teinturiers, Avignon, 84000","Rue du Portail Boquier, Avignon, 84000","avenue Moulin de Notre-Dame, Avignon, 84000","boulevard Gambetta, Avignon, 84000","rue René Goscinny, Avignon, 84000","rue Vice-légat, Avignon, 84000"
"Place de l'église, Entraigues-sur-la-Sorgue, 84320, Avignon, France",10811,11087,11061,9790,11569,11174,11202,11191,11240,11131,11137,9790,8461,11487,9771,10839,7073,11384,11106,4081,11405,204,11426,10651,11351,13246,10816,11344,14068,11489,11176,11973,10790,11379,5130,11497,4825,11405,11251,11295,11550,11535,11450,11533,11298,11242,9867,7372,10769,11241,11193,11241,5135,11541,4837,11470,11535,3172,5320,11809,11369,11587,12387,11166,11166,11333,11166,11056,11654,6259,5226,10212,12387,11734,11734,11384,11455,11384,11591,5745,11193,10856,11066,10962,11521,3078,5059,5059,11646,11661,11549,11628,11241,11309,12003,6158,11559,11562,11142,101,157,11278,11463,7078,11487,7545,2979,12109,11339,3959,5103,8887,11515,11131,11278,11405,12229,12229,0,3390,10779,11535,11169,3078,14632,12192,10997,11717,12072,12091,11694,11137
"Place de l'église, Vedène, 84270, Avignon, France",7826,8162,8430,10405,8546,8223,8252,8393,8616,8092,8181,10405,6035,8566,10405,8537,4047,8423,8148,1200,8399,3580,8446,7771,8419,9996,7735,8309,10962,8481,8190,8940,7801,8456,3299,8457,2183,8420,8255,8343,8699,8490,8427,8523,8151,8244,10524,4331,7394,8623,8636,8623,2480,8593,2250,8444,8490,217,2064,9308,8372,8623,10035,8214,8214,8348,8214,8072,8620,2932,3255,7016,10035,8720,8720,8414,8442,8414,8839,4056,8636,7939,8520,7992,8481,362,2431,2431,8668,8680,8505,9158,8623,8693,9224,3116,8514,8516,8613,3470,3473,8316,8534,4041,8566,4216,427,9051,8383,1003,1714,5520,8780,8190,8655,8399,9899,9899,3390,0,7804,8490,8245,362,12450,9873,7919,8681,8840,8944,8376,8187
"Place des Carmes, Avignon, 84000",62,434,1773,17335,821,430,459,1065,1873,499,384,17335,3016,800,17350,3059,7483,619,351,6775,638,10983,647,519,644,3191,640,648,3365,723,397,1222,76,695,9629,794,5954,625,478,544,1084,840,710,767,1196,472,17478,7444,3659,1903,2145,1903,5644,793,5942,736,840,7984,7019,2681,595,819,12367,420,420,554,420,278,921,5091,9448,1559,12367,968,968,610,696,610,1511,10131,2145,338,2143,188,812,8165,5720,5720,868,882,849,11418,1903,1936,1710,4697,862,868,2243,10877,10799,512,755,7445,800,4080,8210,1396,583,6934,6517,5298,1532,416,1897,638,12334,12334,10779,7804,0,840,506,8165,5930,12349,648,983,2211,1689,2886,398
"Place des Corps Saints, Avignon, 84000",788,821,2232,17798,149,658,651,1432,2271,403,653,17798,3851,767,17816,3596,7841,539,665,7500,277,11739,424,1251,709,2403,776,197,2552,241,501,452,799,757,10132,47,6712,395,405,606,1169,0,160,229,776,404,17944,7773,3508,2302,2572,2302,6407,606,6706,132,0,8677,7567,2956,338,524,12378,657,657,418,657,589,144,5696,9944,1750,12378,295,295,490,219,490,1700,10593,2572,982,2610,708,39,8853,6484,6484,459,441,16,11449,2302,2312,1688,5410,24,28,2690,11632,11561,559,714,7803,767,4590,8903,576,580,7652,7125,5478,1769,726,2282,277,12357,12357,11535,8490,840,0,796,8853,5952,12376,597,196,1563,903,2457,683
"Place du Palais, Avignon, 84000",520,83,1460,17834,691,153,150,672,1522,688,188,17834,3187,321,17849,2812,7989,288,203,7195,519,11373,395,552,183,3186,1035,677,3098,570,352,1007,551,211,10125,752,6350,410,421,197,584,796,636,603,1432,429,17977,7950,4062,1553,1815,1553,6036,388,6333,663,796,8421,7508,2276,458,461,12831,160,160,377,160,372,795,5569,9944,2031,12831,753,753,324,579,324,1052,10631,1815,313,1839,348,757,8605,6111,6111,548,573,795,11886,1553,1572,1209,5131,808,816,1927,11268,11185,237,294,7951,321,4579,8647,1218,235,7358,6991,5788,1091,107,1538,519,12801,12801,11169,8245,506,796,0,8605,5458,12817,962,841,2347,1696,3163,152
"Place du Petit Pont, Vedène, 84270, Avignon, France",8188,8522,8778,10135,8908,8584,8613,8748,8964,8455,8542,10135,6364,8926,10133,8864,4212,8784,8509,1515,8761,3264,8808,8130,8780,10353,8098,8671,11324,8843,8552,9302,8163,8816,3200,8819,2496,8781,8616,8704,9057,8853,8789,8885,8513,8606,10251,4502,7730,8971,8980,8971,2801,8953,2558,8806,8853,204,2290,9650,8734,8984,10093,8575,8575,8710,8575,8433,8982,3287,3179,7377,10093,9082,9082,8776,8804,8776,9193,3956,8980,8299,8863,8353,8844,0,2748,2748,9030,9042,8868,9233,8971,9040,9580,3475,8876,8878,8955,3154,3169,8677,8894,4209,8926,4568,114,9413,8744,1322,2031,5812,9133,8551,9003,8761,9953,9953,3078,362,8165,8853,8605,0,12775,9926,8282,9043,9199,9306,8727,8548
"RD 6580, Avignon, France",5961,5511,4385,22674,5804,5590,5571,4881,4217,6092,5636,22674,6417,5266,22682,3914,13215,5532,5658,11260,5771,14820,5612,5575,5396,7430,6487,5974,5990,5747,5768,5709,5991,5335,14984,5938,10281,5654,5790,5533,4884,5952,5855,5738,6729,5803,22807,13220,9460,4195,4061,4195,9974,5387,10224,5866,5952,12572,12332,3376,5739,5448,18289,5600,5600,5688,5600,5824,5836,10350,14828,7486,18289,5681,5681,5577,5789,5577,4418,15588,4061,5608,4144,5803,5923,12775,10028,10028,5496,5512,5940,17344,4195,4138,4283,9535,5945,5951,4033,14732,14595,5594,5325,13178,5266,9675,12779,5839,5524,11453,11647,11215,4403,5564,4181,5771,18259,18259,14632,12450,5930,5952,5458,12775,0,18275,6387,5823,7278,6506,8333,5604
"Rue de la Dévalade, Caumont-sur-Durance, 84510, Avignon, France",12316,12764,14006,9554,12520,12685,12705,13408,14148,12193,12639,9554,13090,13017,9605,14987,6135,12754,12617,10463,12528,12287,12681,12736,12883,11779,11790,12328,13501,12561,12511,12694,12286,12944,7064,12384,10985,12639,12494,12746,13392,12376,12454,12576,11610,12481,9709,5940,8910,14174,14369,14174,11060,12907,11079,12447,12376,10006,8096,14993,12554,12855,234,12676,12676,12600,12676,12452,12506,9289,6982,10790,234,12664,12664,12710,12516,12710,13859,6463,14369,12676,14324,12471,12401,9926,11082,11082,12819,12806,12391,931,14174,14222,14002,10423,12388,12382,14436,12211,12341,12686,12959,6159,13017,9191,10035,12618,12758,10350,8890,7142,13881,12711,14179,12528,61,61,12192,9873,12349,12376,12817,9926,18275,0,11898,12531,11330,12023,10235,12671
"Rue des Teinturiers, Avignon, 84000",588,932,2385,17202,699,814,829,1625,2467,295,774,17202,3552,1120,17220,3698,7257,856,760,6947,643,11202,786,1167,993,2632,184,462,3070,695,624,1046,573,1053,9534,577,6181,744,596,855,1507,597,599,722,552,583,17348,7194,3101,2498,2752,2498,5881,1012,6179,602,597,8108,6970,3239,661,970,11907,806,806,702,806,593,740,5107,9346,1174,11907,877,877,812,648,812,2009,9997,2752,956,2761,661,601,8282,5959,5959,952,947,614,10968,2498,2523,2105,4855,619,619,2856,11094,11026,794,1062,7219,1120,3992,8334,1132,862,7095,6535,4933,2053,856,2487,643,11880,11880,10997,7919,648,597,962,8282,6387,11898,0,794,1586,1174,2243,810
"Rue du Portail Boquier, Avignon, 84000",937,883,2224,17992,164,725,710,1427,2246,588,732,17992,3971,733,18010,3592,8032,556,752,7686,355,11921,445,1344,716,2348,972,373,2385,280,608,259,952,751,10328,224,6892,433,513,643,1115,196,273,241,920,517,18139,7961,3647,2277,2550,2277,6586,564,6885,249,196,8867,7763,2892,412,468,12531,726,726,483,726,714,63,5891,10140,1940,12531,144,144,516,292,516,1642,10788,2550,1073,2597,829,199,9043,6663,6663,380,355,180,11604,2277,2281,1584,5597,174,175,2671,11814,11741,611,689,7994,733,4786,9093,413,607,7839,7320,5656,1719,792,2254,355,12511,12511,11717,8681,983,196,841,9043,5823,12531,794,0,1597,878,2546,755
"avenue Moulin de Notre-Dame, Avignon, 84000",2149,2358,3796,17486,1696,2199,2197,2995,3833,1728,2181,17486,5111,2321,17508,5158,7438,2102,2185,7990,1835,12274,1988,2715,2273,1184,1684,1672,2381,1804,2012,1616,2141,2320,9982,1602,7334,1958,1929,2165,2712,1563,1718,1786,1042,1923,17637,7314,2465,3864,4135,3864,7056,2154,7347,1693,1563,9043,7581,4487,1894,2062,11309,2196,2196,1973,2196,2057,1615,5919,9782,1871,11309,1737,1737,2053,1782,2053,3239,10348,4135,2468,4173,2162,1602,9199,7135,7135,1977,1952,1568,10417,3864,3872,3151,5931,1557,1548,4253,12165,12116,2113,2272,7402,2321,4667,9265,1452,2143,8116,7299,4839,3316,2263,3844,1835,11305,11305,12072,8840,2211,1563,2347,9199,7278,11330,1586,1597,0,776,1099,2216
"boulevard Gambetta, Avignon, 84000",1630,1724,3102,17911,1008,1562,1553,2305,3122,1191,1556,17911,4696,1611,17932,4471,7881,1424,1567,8021,1178,12295,1309,2145,1590,1505,1332,1062,2030,1127,1399,851,1631,1628,10324,949,7294,1287,1305,1502,1983,903,1063,1099,794,1303,18061,7779,3117,3153,3426,3153,7000,1442,7297,1035,903,9140,7840,3737,1240,1345,12009,1561,1561,1320,1561,1473,911,6068,10130,1945,12009,1007,1007,1379,1117,1379,2501,10733,3426,1879,3475,1589,941,9306,7079,7079,1253,1226,902,11104,3153,3154,2386,5933,889,880,3547,12186,12126,1459,1568,7844,1611,4871,9365,677,1472,8160,7481,5362,2585,1629,3129,1178,12000,12000,12091,8944,1689,903,1696,9306,6506,12023,1174,878,776,0,1839,1586
"rue René Goscinny, Avignon, 84000",2828,3151,4618,16595,2604,3009,3016,3835,4685,2480,2979,16595,5466,3219,16620,5941,6564,2969,2973,7638,2698,11894,2863,3404,3136,1810,2258,2504,3368,2692,2811,2627,2810,3191,9205,2484,7092,2826,2747,3010,3623,2457,2590,2686,1731,2737,16749,6415,1427,4716,4978,4716,6841,3063,7118,2571,2457,8587,6931,5409,2748,2981,10212,3003,3003,2820,3003,2817,2547,5447,9002,1880,10212,2691,2691,2918,2658,2918,4154,9519,4978,3199,4996,2900,2493,8727,6919,6919,2910,2888,2466,9323,4716,4735,4131,5663,2458,2450,5088,11784,11752,2950,3163,6529,3219,4160,8803,2495,2998,7743,6753,3902,4218,3064,4702,2698,10209,10209,11694,8376,2886,2457,3163,8727,8333,10235,2243,2546,1099,1839,0,3016
"rue Vice-légat, Avignon, 84000",398,141,1604,17732,597,37,65,821,1670,538,36,17732,3228,402,17748,2949,7870,250,54,7148,410,11341,325,591,246,3085,885,544,3073,476,206,950,429,299,10028,637,6314,325,287,158,723,683,523,514,1285,293,17876,7827,3910,1701,1962,1701,6002,406,6300,551,683,8365,7417,2429,349,452,12685,31,31,273,31,221,703,5487,9846,1889,12685,689,689,263,474,263,1203,10528,1962,323,1983,219,645,8548,6077,6077,522,542,684,11741,1701,1722,1344,5076,698,706,2072,11235,11155,153,357,7832,402,4478,8591,1152,202,7309,6912,5651,1243,48,1687,410,12655,12655,11137,8187,398,683,152,8548,5604,12671,810,755,2216,1586,3016,0
