,"1 Place des Carmes, Avignon, France","1 Place du Palais, Avignon, France","1 Square Dagmar Silhol, Avignon, France","1 rue de l'Hôpital, Avignon, France","1 rue henri fabre, Avignon, France","10 bis, Place de l'Amirande, Avignon, France","10 bis, rue Peyrolerie, Avignon, France","10 chemin de la Barthelasse, Avignon, France","10 place Saint Marc, Avignon, France","101 Rue de la Bonneterie, Avignon, France","11 rue de Taulignan, Avignon, 84000","11, Rue de l'Hôpital, Avignon, France","110 chemin des Bois, Avignon, France","12, place Crillon, Avignon, France","129 rue de la Frache, Avignon, France","13 Chemin du Polygone, Avignon, France","13 Place Jean Jaurès, Avignon, France","13 Place de l'Horloge, Avignon, France","13, rue Banasterie, Avignon, 84000","130, Chemin du Pont Blanc, Avignon, France","14 Place Saint Didier, Avignon, France","15 rue Laurent Bertrand, Avignon, France","15 rue de la République, Avignon, France","162, Chemin des Canotiers, Avignon, France","17 rue Racine, Avignon, France","1715, chemin du Lavarin, Avignon, France","18 Boulevard Limbert, Avignon, France","18ter, Rue Pétramale, Avignon, France","2 Rue Mère Térésa, Avignon, France","2 bis rue Laboureur, Avignon, 84000","2 place Jérusalem, Avignon, 84000","20 boulevard Saint Roch, Avignon, France","20, rue Carreterie, Avignon, 84000","20, rue Saint-Etienne, Avignon, France","203 avenue de la Rétanque, Avignon, France","21, place des Corps Saints, Avignon, France","229 rue Graham Bell, Avignon, France","23, Rue de la Bancasse, Avignon, France","24 Rue de la Bonneterie, Avignon, France","24 place de l'Horloge, Avignon, France","25, allée Antoine Pinay, Avignon, France","25-27, place des Corps Saints, Avignon, France","26, rue des Trois Faucons, Avignon, France","27 rue de la République, Avignon, 84000","276 rue du Jas, Avignon, France","28 rue de la bonneterie, Avignon, France","29 place de la Poste, Avignon, France","29 rue Théodore Aubanel, Avignon, France","2968, Avenue de l'Amandier, Avignon, France","3 place Saint-Marc, Avignon, France","3 rue de la République, Villeneuve-lez-Avignon, 30400","3, Place Saint-Marc, Avignon, France","311 chemin des Petits Rougiers, Avignon, France","32 rue Joseph Vernet, Avignon, 84000","322 avenue de Saint Tronquet, Avignon, France","34, rue des Trois Faucons, Avignon, France","34- 36  Place des Corps Saints, Avignon, France","35 rue notre dame, Avignon, France","361 allée Louis Montagnat, Avignon, France","37 rue Camp de Bataille, Avignon, France","37 rue de la Saraillerie, Avignon, France","3B rue de la Petite Calade, Avignon, France","4 Place Jean Jaurès, Avignon, France","4 Place de l'Amirande, Avignon, France","4 place de l'Amirande, Avignon, France","4, Place de la Principale, Avignon, France","4, place de l'Amirande, Avignon, France","41 – 43 rue Carnot, Avignon, France","43 rue de la république, Avignon, France","450 allée de Cassagne, Avignon, France","49 rue porte de Jonquerettes, Avignon, France","5 Rue Cabassole, Avignon, France","5 place Jean Jaurès, Avignon, France","5 rue Violette, Avignon, France","5 rue Violette, Avignon, 84000","5 rue de la république, Avignon, France","5, rue Laboureur, Avignon, 84000","5, rue de la République, Avignon, France","5, rue du Vieux Moulin, Avignon, France","51 avenue du Mont-Ventoux, Avignon, France","53 rue de la République, Villeneuve-lez-Avignon, 30400","57 rue Banasterie, Avignon, 84000","58 rue de la République, Villeneuve-lez-Avignon, 30400","6, rue Saluces, Avignon, 84000","62 Place des Corps Saints, Avignon, France","62 place du Petit Pont, Avignon, France","641 avenue de Saint Tronquet, Avignon, France","641 avenue de Saint-Tronquet, Avignon, France","65 rue Joseph Vernet, Avignon, 84000","67 rue Joseph Vernet, Avignon, 84000","68, place des Corps Saints, Avignon, France","69 avenue du General de Gaulle, Avignon, France","7 Place Saint-Marc, Avignon, France","7 place du Chapitre, Avignon, France","7, impasse du Pont, Avignon, France","719 route de Carpentras, Avignon, France","72, place des Corps Saints, Avignon, France","74 Place des Corps Saints, Avignon, France","74 rue de la République, Avignon, France","76 rue Daniel Lavorini, Avignon, France","8 impasse du lavoir, Avignon, France","8 rue de Mons, Avignon, 84000","8, RUE MAZAN, Avignon, France","9 rue de la République, Avignon, France","9, place Crillon, Avignon, 84000","Avenue Pierre de Coubertin, Le Pontet, 84130, Avignon, France","Avenue Pierre de Coubertin, Vedène, 84270, Avignon, France","Avenue du Blanchissage, Avignon, 84000","Avignon, 84000","Centre Commercial Buld'Air, Avignon, France","Chemin de la Banastière, Avignon, France","Montfavet, Avignon, 84000","Montée de la Tour, Villeneuve-lez-Avignon, 30400","Palais des papes, Avignon, 84000","Place Meissonnier, Villeneuve-lez-Avignon, 30400","Place Saint Didier, Avignon, 84000","Place de l'Église, Caumont-sur-Durance, 84510, Avignon, France","Place de l'église, Caumont-sur-Durance, 84510, Avignon, France","Place de l'église, Entraigues-sur-la-Sorgue, 84320, Avignon, France","Place de l'église, Vedène, 84270, Avignon, France","Place des Carmes, Avignon, 84000","Place des Corps Saints, Avignon, 84000","Place du Palais, Avignon, 84000","Place du Petit Pont, Vedène, 84270, Avignon, France","RD 6580, Avignon, France","Rue de la Dévalade, Caumont-sur-Durance, 84510, Avignon, France","Rue des Teinturiers, Avignon, 84000","Rue du Portail Boquier, Avignon, 84000","avenue Moulin de Notre-Dame, Avignon, 84000","boulevard Gambetta, Avignon, 84000","rue René Goscinny, Avignon, 84000","rue Vice-légat, Avignon, 84000"
"Avignon, 84000",571,291,1653,17901,463,164,137,853,1698,568,202,17901,3412,260,17917,3015,8019,54,235,7347,308,11542,162,773,138,2955,972,494,2879,345,251,773,599,195,10201,540,6515,185,267,44,647,580,425,373,1274,280,18045,7971,3956,1729,1997,1729,6203,210,6501,449,580,8562,7596,2415,252,250,12768,172,172,178,172,343,564,5673,10018,1997,12768,518,518,92,361,92,1165,10695,1997,513,2031,395,541,8744,6279,6279,324,347,577,11828,1729,1742,1244,5274,590,598,2113,11437,11356,77,202,7981,260,4649,8788,983,0,7508,7099,5766,1221,216,1711,308,12741,12741,11339,8383,583,580,235,8744,5524,12758,862,607,2143,1472,2998,202
"Centre Commercial Buld'Air, Avignon, France",6960,7275,7472,11400,7698,7346,7374,7470,7657,7250,7305,11400,5041,7679,11400,7542,4308,7550,7273,196,7543,4161,7580,6868,7536,9288,6912,7465,10158,7626,7326,8097,6936,7570,4137,7616,1179,7556,7394,7466,7791,7652,7578,7669,7366,7385,11520,4563,6879,7664,7667,7664,1480,7716,1247,7597,7652,1119,2270,8334,7513,7752,10496,7337,7337,7484,7337,7206,7777,2346,4062,6261,10496,7868,7868,7544,7590,7544,7906,4882,7667,7048,7549,7121,7640,1322,1428,1428,7802,7815,7666,9583,7664,7733,8299,2241,7676,7678,7640,4051,4011,7443,7650,4294,7679,3615,1332,8220,7508,0,1578,5275,7843,7309,7696,7543,10371,10371,3959,1003,6934,7652,7358,1322,11453,10350,7095,7839,8116,8160,7743,7309
"Chemin de la Banastière, Avignon, France",6529,6908,7412,11028,7198,6946,6975,7240,7597,6740,6901,11028,5314,7307,11037,7764,2779,7132,6868,1637,7070,5292,7140,6569,7154,8429,6352,6955,9511,7148,6884,7577,6502,7198,3358,7096,2117,7108,6937,7061,7496,7125,7082,7188,6699,6926,11162,3017,5708,7609,7669,7609,2246,7309,2211,7095,7125,1932,840,8361,7051,7326,9025,6936,6936,7039,6936,6770,7262,1429,3219,5536,9025,7377,7377,7117,7106,7117,7713,4019,7669,6699,7565,6704,7121,2031,2251,2251,7359,7367,7140,8092,7609,7677,8065,2128,7148,7149,7668,5182,5188,7027,7268,2760,7307,2632,2125,7664,7099,1578,0,3818,7668,6922,7636,7070,8907,8907,5103,1714,6517,7125,6991,2031,11647,8890,6535,7320,7299,7481,6753,6912
"Montfavet, Avignon, 84000",5272,5726,6887,12694,5609,5670,5693,6334,7036,5223,5622,12694,6072,6025,12719,7846,2693,5771,5596,5260,5577,9069,5716,5642,5880,5709,4798,5389,7218,5625,5515,5861,5241,5940,5447,5474,5204,5675,5514,5748,6372,5478,5524,5648,4767,5501,12848,2520,2509,7061,7245,7061,5105,5939,5275,5522,5478,5736,3609,7885,5592,5903,7186,5660,5660,5625,5660,5438,5618,3116,5240,3769,7186,5773,5773,5732,5579,5732,6803,5676,7245,5611,7193,5440,5496,5812,5163,5163,5884,5877,5494,6214,7061,7111,6996,4049,5494,5490,7306,8961,8981,5691,5969,2659,6025,2337,5914,5839,5766,5275,3818,0,6813,5686,7069,5577,7133,7133,8887,5520,5298,5478,5788,5812,11215,7142,4933,5656,4839,5362,3902,5651
"Montée de la Tour, Villeneuve-lez-Avignon, 30400",1567,1131,638,18625,1627,1239,1226,480,575,1772,1279,18625,3158,1002,18638,1942,8904,1248,1295,7666,1519,11716,1355,1189,1083,3970,2123,1715,3416,1529,1433,1749,1597,1027,10900,1737,6758,1391,1482,1215,604,1769,1629,1540,2496,1493,18765,8885,5154,602,870,602,6438,1164,6728,1649,1769,8940,8254,1193,1470,1255,13899,1247,1247,1400,1247,1463,1702,6276,10728,3091,13899,1582,1582,1299,1560,1299,107,11445,870,1205,948,1422,1732,9133,6508,6508,1339,1364,1761,12950,602,586,522,5679,1771,1780,996,11615,11516,1276,1055,8866,1002,5413,9163,1956,1221,7843,7668,6813,0,1198,570,1519,13865,13865,11515,8780,1532,1769,1091,9133,4403,13881,2053,1719,3316,2585,4218,1243
"Palais des papes, Avignon, 84000",423,95,1555,17751,636,68,84,773,1621,586,85,17751,3200,385,17767,2901,7896,268,96,7147,452,11335,355,561,231,3127,928,591,3095,514,255,980,455,278,10045,681,6309,359,334,171,686,726,566,551,1334,340,17895,7855,3955,1652,1913,1652,5997,410,6294,594,726,8367,7432,2382,390,464,12725,68,68,312,68,264,741,5499,9864,1926,12725,720,720,289,515,289,1159,10548,1913,297,1934,247,688,8551,6072,6072,541,563,727,11780,1652,1674,1310,5078,740,749,2023,11230,11148,183,345,7858,385,4496,8593,1185,216,7309,6922,5686,1198,0,1639,452,12694,12694,11131,8190,416,726,107,8551,5564,12711,856,792,2263,1629,3064,48
"Place Meissonnier, Villeneuve-lez-Avignon, 30400",1944,1556,225,18641,2147,1692,1685,866,39,2226,1724,18641,2838,1523,18652,1372,9040,1747,1733,7514,2018,11478,1859,1449,1576,4535,2527,2203,3964,2041,1891,2305,1970,1526,10920,2246,6580,1892,1955,1695,1149,2282,2133,2057,2971,1964,18778,9040,5557,41,300,41,6260,1691,6542,2156,2282,8806,8264,816,1964,1786,14206,1698,1698,1888,1698,1895,2231,6276,10753,3428,14206,2122,2122,1797,2066,1797,672,11490,300,1559,382,1829,2244,9003,6326,6326,1876,1902,2277,13248,41,43,1016,5589,2288,2296,426,11378,11272,1753,1571,9003,1523,5510,9026,2516,1711,7696,7636,7069,570,1639,0,2018,14166,14166,11278,8655,1897,2282,1538,9003,4181,14179,2487,2254,3844,3129,4702,1687
"Place Saint Didier, Avignon, 84000",598,546,1961,17809,192,384,374,1161,2005,359,383,17809,3615,523,17825,3322,7886,272,400,7387,0,11609,165,992,442,2674,791,204,2726,84,252,583,617,494,10125,234,6579,127,160,330,929,277,118,128,983,166,17954,7828,3692,2036,2305,2036,6271,383,6569,144,277,8582,7539,2711,61,328,12534,384,384,141,384,363,298,5642,9939,1816,12534,330,330,221,64,221,1456,10602,2305,721,2339,476,238,8761,6348,6348,311,310,276,11599,2036,2049,1489,5303,289,298,2421,11503,11427,282,466,7848,523,4572,8809,766,308,7543,7070,5577,1519,452,2018,0,12509,12509,11405,8399,638,277,519,8761,5771,12528,643,355,1835,1178,2698,410
"Place de l'Église, Caumont-sur-Durance, 84510, Avignon, France",12300,12748,13994,9616,12501,12669,12689,13393,14135,12176,12623,9616,13089,13000,9666,14979,6149,12736,12600,10483,12509,12326,12663,12723,12866,11749,11773,12309,13471,12542,12494,12673,12270,12927,7100,12365,11001,12621,12477,12729,13375,12357,12435,12557,11590,12464,9771,5952,8888,14162,14357,14162,11073,12889,11094,12428,12357,10032,8115,14979,12536,12837,177,12659,12659,12582,12659,12435,12486,9297,7017,10775,177,12645,12645,12692,12498,12692,13844,6504,14357,12662,14312,12455,12382,9953,11096,11096,12800,12788,12371,918,14162,14209,13985,10431,12369,12363,14424,12249,12379,12669,12941,6173,13000,9191,10063,12596,12741,10371,8907,7133,13865,12694,14166,12509,0,0,12229,9899,12334,12357,12801,9953,18259,61,11880,12511,11305,12000,10209,12655
"Place de l'église, Caumont-sur-Durance, 84510, Avignon, France",12300,12748,13994,9616,12501,12669,12689,13393,14135,12176,12623,9616,13089,13000,9666,14979,6149,12736,12600,10483,12509,12326,12663,12723,12866,11749,11773,12309,13471,12542,12494,12673,12270,12927,7100,12365,11001,12621,12477,12729,13375,12357,12435,12557,11590,12464,9771,5952,8888,14162,14357,14162,11073,12889,11094,12428,12357,10032,8115,14979,12536,12837,177,12659,12659,12582,12659,12435,12486,9297,7017,10775,177,12645,12645,12692,12498,12692,13844,6504,14357,12662,14312,12455,12382,9953,11096,11096,12800,12788,12371,918,14162,14209,13985,10431,12369,12363,14424,12249,12379,12669,12941,6173,13000,9191,10063,12596,12741,10371,8907,7133,13865,12694,14166,12509,0,0,12229,9899,12334,12357,12801,9953,18259,61,11880,12511,11305,12000,10209,12655
